"Distance [mm]","Voltage [V]"
0,0
0.009062,0.0038608683414462
0.018124,0.00771331312942523
0.027186,0.0115573343639378
0.036248,0.0153929320449829
0.04531,0.0192201061725619
0.054372,0.0230388567466738
0.063434,0.0268491837673188
0.072496,0.0306510872344974
0.081558,0.0344445671482089
0.09062,0.0382296235084535
0.099682,0.0420062563152314
0.108744,0.0457744655685425
0.117806,0.0495342512683871
0.126868,0.0532856134147646
0.13593,0.0570285520076752
0.144992,0.0607630670471195
0.154054,0.0644891585330966
0.163116,0.0682068264656069
0.172178,0.0719160708446504
0.18124,0.075616891670227
0.190302,0.0793092889423373
0.199364,0.0829932626609804
0.208426,0.0866688128261571
0.217488,0.0903359394378665
0.22655,0.0939946424961089
0.235612,0.0976449220008852
0.244674,0.101286777952194
0.253736,0.104920210350037
0.262798,0.108545219194413
0.27186,0.112161804485321
0.280922,0.115769966222763
0.289984,0.119369704406738
0.299046,0.122961019037247
0.308108,0.126543910114289
0.31717,0.130118377637863
0.326232,0.133684421607972
0.335294,0.137242042024613
0.344356,0.140791238887787
0.353418,0.144332012197495
0.36248,0.147864361953735
0.371542,0.15138828815651
0.380604,0.154903790805817
0.389666,0.158410869901657
0.398728,0.161909525444031
0.40779,0.165399757432938
0.416852,0.168881565868378
0.425914,0.172354950750351
0.434976,0.175819912078857
0.444038,0.179276449853897
0.4531,0.18272456407547
0.462162,0.186164254743576
0.471224,0.189595521858216
0.480286,0.193018365419388
0.489348,0.196432785427094
0.49841,0.199838781881332
0.507472,0.203236354782105
0.516534,0.20662550412941
0.525596,0.210006229923249
0.534658,0.21337853216362
0.54372,0.216742410850525
0.552782,0.220097865983963
0.561844,0.223444897563935
0.570906,0.227075384929657
0.579968,0.230997543050766
0.58903,0.234922230911255
0.598092,0.238849448511124
0.607154,0.242779195850372
0.616216,0.246711472929001
0.625278,0.250646279747009
0.63434,0.254583616304398
0.643402,0.258523482601166
0.652464,0.262465878637314
0.661526,0.266410804412842
